<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMKT.US,D,20240927,000000,100.05,100.07,100.0498,100.07,6522,0
MMKT.US,D,20240930,000000,100.0898,100.09,100.08,100.09,40420,0
MMKT.US,D,20241001,000000,100.1,100.1,100.09,100.1,39600,0
MMKT.US,D,20241002,000000,100.11,100.11,100.102,100.11,6675,0
MMKT.US,D,20241003,000000,100.11,100.14,100.11,100.14,4433,0
MMKT.US,D,20241004,000000,100.16,100.1983,100.15,100.19,132148,0
MMKT.US,D,20241007,000000,100.1804,100.19,100.175,100.19,46149,0
MMKT.US,D,20241008,000000,100.19,100.19,100.16,100.18,11080,0
MMKT.US,D,20241009,000000,100.19,100.2,100.19,100.2,4921,0
MMKT.US,D,20241010,000000,100.2,100.2,100.1866,100.2,4846,0
MMKT.US,D,20241011,000000,100.22,100.22,100.195,100.22,60744,0
MMKT.US,D,20241014,000000,100.23,100.25,100.23,100.25,1813,0
MMKT.US,D,20241015,000000,100.2663,100.28,100.2663,100.28,15340,0
MMKT.US,D,20241016,000000,100.27,100.29,100.25,100.29,4273,0
MMKT.US,D,20241017,000000,100.29,100.3,100.28,100.3,5195,0
MMKT.US,D,20241018,000000,100.31,100.32,100.3001,100.32,4060,0
MMKT.US,D,20241021,000000,100.33,100.35,100.32,100.35,13644,0
MMKT.US,D,20241022,000000,100.35,100.36,100.35,100.36,15525,0
MMKT.US,D,20241023,000000,100.36,100.36,100.3501,100.36,2455,0
MMKT.US,D,20241024,000000,100.365,100.37,100.365,100.37,11187,0
MMKT.US,D,20241025,000000,100.38,100.4,100.38,100.39,15321,0
MMKT.US,D,20241028,000000,100.42,100.42,100.3941,100.42,9218,0
