<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MS_Q.US,D,20240805,000000,25.89,26.56,25.51,26.09,1413510,0
MS_Q.US,D,20240806,000000,26.15,26.15,26.055,26.1,699217,0
MS_Q.US,D,20240807,000000,26.15,26.31,26.13,26.2,564366,0
MS_Q.US,D,20240808,000000,26.3,26.59,26.255,26.45,551551,0
MS_Q.US,D,20240809,000000,26.55,26.68,26.5,26.52,333616,0
MS_Q.US,D,20240812,000000,26.58,26.6,26.37,26.51,203302,0
MS_Q.US,D,20240813,000000,26.57,26.6,26.47,26.55,275014,0
MS_Q.US,D,20240814,000000,26.55,26.8,26.5,26.65,304466,0
MS_Q.US,D,20240815,000000,26.83,26.91,26.73,26.75,311730,0
MS_Q.US,D,20240816,000000,26.75,26.7694,26.67,26.67,77362,0
MS_Q.US,D,20240819,000000,26.6613,26.84,26.64,26.73,229445,0
MS_Q.US,D,20240820,000000,26.75,26.75,26.5,26.62,270487,0
MS_Q.US,D,20240821,000000,26.54,26.665,26.5,26.62,297676,0
MS_Q.US,D,20240822,000000,26.65,26.73,26.6,26.67,152328,0
MS_Q.US,D,20240823,000000,26.67,27.16,26.64,26.87,290427,0
MS_Q.US,D,20240826,000000,26.855,26.92,26.79,26.81,174527,0
MS_Q.US,D,20240827,000000,26.82,26.83,26.76,26.77,181436,0
MS_Q.US,D,20240828,000000,26.8,26.95,26.74,26.88,307449,0
MS_Q.US,D,20240829,000000,26.87,26.87,26.71,26.76,268081,0
MS_Q.US,D,20240830,000000,26.79,26.88,26.61,26.75,5600543,0
MS_Q.US,D,20240903,000000,26.7,26.74,26.55,26.57,282285,0
MS_Q.US,D,20240904,000000,26.63,26.6612,26.52,26.54,70988,0
MS_Q.US,D,20240905,000000,26.65,26.7498,26.61,26.73,138710,0
MS_Q.US,D,20240906,000000,26.75,26.7891,26.54,26.64,69974,0
MS_Q.US,D,20240909,000000,26.72,26.83,26.56,26.82,31368,0
MS_Q.US,D,20240910,000000,26.91,26.92,26.8001,26.87,28536,0
MS_Q.US,D,20240911,000000,26.85,26.92,26.76,26.86,85717,0
MS_Q.US,D,20240912,000000,26.96,27.16,26.8875,26.98,88856,0
MS_Q.US,D,20240913,000000,27.06,27.12,27.03,27.05,74304,0
MS_Q.US,D,20240916,000000,27.16,27.1697,27.08,27.1532,83935,0
MS_Q.US,D,20240917,000000,27.27,27.27,27.1,27.13,67912,0
MS_Q.US,D,20240918,000000,27.24,27.24,27.16,27.2,41046,0
MS_Q.US,D,20240919,000000,27.27,27.27,27.16,27.1688,162661,0
MS_Q.US,D,20240920,000000,27.16,27.35,27.02,27.095,51415,0
MS_Q.US,D,20240923,000000,27.14,27.2,26.92,26.92,73752,0
MS_Q.US,D,20240924,000000,27,27.07,26.95,27.06,64568,0
MS_Q.US,D,20240925,000000,27.13,27.15,27,27.07,89416,0
MS_Q.US,D,20240926,000000,27.15,27.165,26.9905,27.13,60457,0
MS_Q.US,D,20240927,000000,27.22,27.23,26.94,27.13,170634,0
MS_Q.US,D,20240930,000000,26.77,26.91,26.765,26.84,244785,0
MS_Q.US,D,20241001,000000,27,27.0192,26.88,26.93,116606,0
MS_Q.US,D,20241002,000000,27,27.0183,26.8805,26.92,136552,0
MS_Q.US,D,20241003,000000,26.99,27.114,26.83,26.83,148761,0
MS_Q.US,D,20241004,000000,26.89,26.89,26.73,26.74,28390,0
MS_Q.US,D,20241007,000000,26.75,26.76,26.7,26.7,46372,0
MS_Q.US,D,20241008,000000,26.74,26.91,26.67,26.79,50368,0
MS_Q.US,D,20241009,000000,26.85,26.91,26.82,26.82,179475,0
MS_Q.US,D,20241010,000000,26.89,27.01,26.66,26.75,76296,0
MS_Q.US,D,20241011,000000,26.81,26.84,26.74,26.83,48207,0
MS_Q.US,D,20241014,000000,26.86,26.89,26.76,26.815,52703,0
MS_Q.US,D,20241015,000000,26.88,26.9,26.81,26.87,86965,0
MS_Q.US,D,20241016,000000,26.91,26.95,26.88,26.88,46424,0
MS_Q.US,D,20241017,000000,26.9,26.95,26.75,26.77,44169,0
MS_Q.US,D,20241018,000000,26.87,26.91,26.71,26.71,218211,0
MS_Q.US,D,20241021,000000,26.69,26.7513,26.5,26.51,50820,0
MS_Q.US,D,20241022,000000,26.56,26.79,26.56,26.76,75968,0
MS_Q.US,D,20241023,000000,26.72,26.79,26.6,26.74,222888,0
MS_Q.US,D,20241024,000000,26.72,26.805,26.7,26.71,144842,0
MS_Q.US,D,20241025,000000,26.85,26.91,26.59,26.6,144073,0
MS_Q.US,D,20241028,000000,26.72,26.72,26.57,26.59,47688,0
