<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSTZ.US,D,20240919,000000,21.47,21.78,18.79,20.0216,32684,0
MSTZ.US,D,20240920,000000,20.28,20.8,19.58,20.1,97081,0
MSTZ.US,D,20240923,000000,19.25,19.85,18.171,18.62,18353,0
MSTZ.US,D,20240924,000000,18.39,19.02,17.56,17.603,38554,0
MSTZ.US,D,20240925,000000,17.96,18.1,16.71,18.0197,48937,0
MSTZ.US,D,20240926,000000,16.69,16.96,14.38,14.81,142235,0
MSTZ.US,D,20240927,000000,14.1,14.16,12.34,12.75,397550,0
MSTZ.US,D,20240930,000000,13.98,14.16,13,14.01,448173,0
MSTZ.US,D,20241001,000000,13.99,15.87,13.88,14.99,476275,0
MSTZ.US,D,20241002,000000,15.43,15.58,13,14.67,457470,0
MSTZ.US,D,20241003,000000,14.92,15.85,14.5215,14.83,144717,0
MSTZ.US,D,20241004,000000,14.3,14.74,12.5,12.5,478022,0
MSTZ.US,D,20241007,000000,12.03,12.14,10.36,11.15,1570319,0
MSTZ.US,D,20241008,000000,11.14,11.3224,9.66,10.43,1656799,0
MSTZ.US,D,20241009,000000,10.71,11.14,9.7699,10.75,1950632,0
MSTZ.US,D,20241010,000000,10.34,11.995,10.34,11.36,1514833,0
MSTZ.US,D,20241011,000000,10.77,10.86,7.77,7.78,4045623,0
MSTZ.US,D,20241014,000000,6.92,8.56,6.7107,8.51,4747969,0
MSTZ.US,D,20241015,000000,8.14,9.55,7.76,9.16,4177439,0
MSTZ.US,D,20241016,000000,8.62,9.41,8.58,9.18,2136649,0
MSTZ.US,D,20241017,000000,9.25,9.97,8.75,9.22,2235520,0
MSTZ.US,D,20241018,000000,8.85,8.9,6.86,7.15,4572362,0
MSTZ.US,D,20241021,000000,7.24,7.6,6.63,6.91,3948978,0
MSTZ.US,D,20241022,000000,7.08,7.33,6.77,6.87,2844337,0
MSTZ.US,D,20241023,000000,7.18,7.78,6.68,7.22,4458244,0
MSTZ.US,D,20241024,000000,6.81,6.95,5.8,5.84,6127105,0
MSTZ.US,D,20241025,000000,5.75,6.12,5.29,5.815,8347181,0
MSTZ.US,D,20241028,000000,5.3,5.37,4.59,4.79,8280668,0
